,Company/Candidate Name,Role,Sub-skill,Count
470,MAP Active Vietnam,Retail Operations Head MAP Active Vietnam,"protocols, inventory management, communication, strategies, data driven, marketing, business development, process management, flexible, leadership, communication skills, excel, powerpoint",17
471,MAP Active Vietnam,Senior Merchandise Planning MAP Active Vietnam,"team building, excel, interpersonal skills",3
472,MEDLOG Transport & Logistics,OPERATIONS & HSSE MANAGER [ Containers Logistics ],"leadership, people management, organizational, problem solving, english, communication, communication skills, optimization",9
473,METUB,"Licensing & IP's Artist Management & Development, Manager (Artists focus)","marketing, creative, strategies, advertising, project management, organizational, digital, communication, presentation, communication skills",12
474,METUB,Senior Legal Specialist,advertising,1
475,MFast,Senior Credit Risk Policy & Portfolio,"analytical skills, data analysis, team building",3
476,MFast,Software Tester/QC Specialist,"regression, team leader, communication, communication skills, databases, analytical skills, problem solving, english, team building",10
477,MSL UK,(Associate) Creative Director,"creative, client",12
478,MTI Technology,Scrum Master,"team work, conflict resolution, leadership, software development, english, communication, time management, analytical skills, interpersonal skills, flexible, team building",15
479,MTI Technology,[HCM] AI Consulting and Delivery Manager,"leadership, strategic thinking, business development, strategies, client, project management, team management, algorithms, communication, communication skills, problem solving, english, vietnamese, flexible, team building",29
480,MagnetIX,Assistant Store Manager,"client, team building, leadership, people management, strategies",6
481,ManpowerGroup Vietnam,BUSINESS DEVELOPMENT (ALIBABA CLOUD),"organizational, strategies, communication, c, digital, english, vietnamese",10
482,ManpowerGroup Vietnam,Vietnam Country Manager,"leadership, client, strategies, go, marketing, vietnamese, communication, english",15
483,Manulife,"Head of Product, Sales & Distribution Compliance","documentation, marketing, communication, ownership, interpersonal skills, flexible, leadership",7
484,Manulife,Information Risk Management Senior Specialist,"incident response, software development, sdlc, performance metrics, ownership, english, communication, presentation, flexible, leadership",11
485,Mapletree,"Assistant Associate Director, Investment","strategies, financial analysis, marketing, initiative",5
486,Mapletree,"Assistant Associate Director, Leasing, Vietnam","strategies, market research, business development, marketing, presentation, interpersonal skills",7
487,Mapletree,"Associate Director, Asset Management, Vietnam","strategies, marketing, initiative, communication, interpersonal skills",6
488,Mapletree,"Executive, Property Management","ms office, powerpoint, excel, communication, interpersonal skills",5
489,Mapletree,"Manager, Human Resource (Based in Ho Chi Minh, Vietnam)","strategies, performance management, react",3
490,Mapletree,"Senior Associate Director, Asset Management, Vietnam","strategies, marketing, initiative, communication, interpersonal skills",6
491,Mapletree,"Senior Associate Director, Investment, Vietnam","strategies, financial analysis, marketing, initiative",5
492,Mapletree,"Senior Manager / Vice President, Investment & Asset Management, Vietnam","strategies, communication, interpersonal skills",3
493,Mapletree,"Vice President, Projects (Logistics), Group Development Management (Based in HCMC or Hanoi, Vietnam)","project management, documentation, english, communication, communication skills, adaptability, strategies",9
494,Marico SEA Careers,Brand Manager - Oliv,"communication, brand management, marketing, problem solving, critical thinking, articulation, project management, english",8
495,Marico SEA Careers,Senior Key Account Manager,"marketing, optimization, strategies, business strategy, leadership, people management, problem solving, communication, interpersonal skills",10
496,Marou - Faiseurs de Chocolat,Academie Document Controller,"digital, english, ms office, excel, powerpoint, analytical skills, organizational",7
497,Marou - Faiseurs de Chocolat,Cacao Sustainable Sourcing Officer,"communication, english, ms office, powerpoint, excel, problem solving, ownership, creative",10
498,Marou - Faiseurs de Chocolat,Corporate Sales Executive,"presentation, english, ms office, excel, powerpoint, marketing, initiative",7
499,Marou - Faiseurs de Chocolat,Marketing Executive,"creative, marketing, social media marketing, increase brand awareness, social media platforms, strategies, digital, advertising, influencer marketing, english, communication, communication skills, digital marketing",38
500,Mars,Customer Development Manager (Modern Trade),"business plan, optimization, marketing, communication, communication skills, interpersonal skills, presentation, analytical skills, strategies",10
501,Marvell Technology,System Validation Engineer - Senior,"digital, problem solving, python, matlab, communication, team work",7
502,Masan Consumer Holdings,Legal Manager - (Export),"communication, communication skills",2
503,Masan Group,Engineering Manager,"digital, leadership, team building, project management, stakeholder management, marketing, software development, team management, communication, interpersonal skills, aws, azure, ui, ux",21
504,Masan Group,Product Owner,"performance metrics, digital, software development, agile methodologies, problem solving, critical thinking",6
505,Mastercard,"Senior Managing Consultant, Advisors Client Services, Marketing","digital, client, data analysis, data assets, marketing, strategies, c, problem solving, business development, digital marketing, organizational, leadership, excel, powerpoint, english, optimization, content marketing, supply chain, data visualization, tableau",50
506,Mastercard,"Senior Managing Consultant, Advisors Client Services, Strategy & Transformation","digital, client, data analysis, data assets, marketing, problem solving, strategies, c, business development, business intelligence, stakeholder management, organizational, leadership, excel, powerpoint, english",28
507,MaxX DC,Account Executive,"digital, project management, client, creative, marketing, leadership, problem solving, communication, presentation, advertising, powerpoint, excel, flexible, team building, strategies, organizational, http",51
508,Mercedes-Benz Vietnam,"Assistant Manager, Human Resources","documentation, vietnamese, english, ms office, problem solving, organizational, time management, communication, communication skills, creative",11
509,Michael Page,Business Development Manager (Software/SAAS for FMCG),"client, digital, creative, strategies, business development, presentation, communication, communication skills, time management, c",11
510,Michael Page,Commercial Finance Manager,"client, marketing, strategies, financial analysis, leadership, communication, communication skills, excel, powerpoint, english",17
511,Michael Page,Country Head of Sales and Marketing,"marketing, team management, client",4
512,Michael Page,Digital Project Manager - International Leading Company,"client, digital, initiative, advertising, vietnamese, digital marketing, marketing, communication",17
513,Michael Page,Marketing Director - Confidential Search,"brand management, client, marketing, market research, strategies, advertising, performance metrics, leadership, strategic thinking, analytical skills, team management, communication, data driven",31
514,Michael Page,Shopper Insights Manager,"market research, client, marketing, leadership, strategic thinking, communication, presentation, strategies",13
515,Microchip Technology Inc.,Senior Engineer - Design,"communication, leadership, english",4
516,Microsoft,Senior Software Engineer,"communication, software development, organizational, c, java, python, go, azure, problem solving, communication skills, leadership, azure, problem solving, communication, communication skills, java, c, aws",32
517,Microsoft,Software Development Engineer 2,"communication, api, software development, english, problem solving, data analysis",6
518,Microsoft,Software Engineer,"communication, digital, english, c, python, java, data analysis",10
519,Mindray,Clinical Application Specialist (Ultrasound Imaging System Product),"documentation, customer training, communication, communication skills, english, problem solving, initiative",9
520,Mirae Asset Finance Company (Vietnam),Finance Business Manager,"business plan, strategies, market research, marketing, financial analysis, excel, strategic thinking, creative, problem solving, english, communication",13
521,Mirae Asset Finance Company (Vietnam),Head of Commercial Lending,"leadership, team management, performance management, stakeholder management, business development, data analysis, problem solving, communication, strategic thinking",12
522,Mirae Asset Finance Company (Vietnam),Product Development Deputy Manager,"market research, marketing, digital, communication, project management, excel, powerpoint, english, data analysis, presentation, problem solving",12
523,Mirae Asset Finance Company (Vietnam),Stock Loan Manager (Margin Loan),"communication, negotiation skills, business plan, market research, business strategy, client, critical thinking, problem solving",8
524,Miraiku Little Hands Kindergarten,Admission Specialist at Preschool,"marketing, problem solving, communication",4
525,MoMo (M_Service),Customer Intelligence Analyst,"consumer research, marketing, product design, statistical analysis, regression, decision trees, spss, r, market research, strategies, communication, team building, english, vietnamese, flexible",20
526,MoMo (M_Service),"Product Manager, Product Platform","marketing, user research, go, data driven, leadership, advertising, problem solving, strategies, communication, communication skills",15
527,MoMo (M_Service),Quality Control Engineer,"regression, databases, software development, api, docker",7
528,MoMo (M_Service),"Senior Executive – Growth, Telco","growth strategy, marketing, communication, creative, project management, flexible",10
529,MoMo (M_Service),Team Lead – Organizational Culture,"strategies, organizational, social media platforms, project management, problem solving, communication, communication skills, ownership, interpersonal skills",12
530,Morrison Express,(SGN) Freight Forwarding Sales Manager,"go, supply chain, strategies, leadership, communication, documentation",8
531,Morrison Express,Freight Forwarding Sales Executive,"strategies, communication, time management, creative, english",7
532,Motul Vietnam,Research and Development Supervisor,"project management, team leader, api, communication, communication skills",6
533,Moët Hennessy,"Senior Account Manager, HORECA","strategies, marketing, data analysis, sales management, communication, english, communication skills, organizational, flexible, client",13
534,NAB Innovation Centre Vietnam,Head of Group Security  – Vietnam,"leadership, performance metrics, communication, communication skills, stakeholder management, ownership, digital, english, flexible",15
535,NAB Innovation Centre Vietnam,Lead Web Producer,"team work, digital, go, team management, customer focused, customer focused, flexible, stakeholder management, project management, problem solving, data driven, optimization, seo, html, css, ownership, leadership, english",29
536,NAB Innovation Centre Vietnam,Middle/Senior Web Producer,"team work, digital, seo, customer focused, customer focused, flexible, optimization, creative, html, css, javascript, react, english, communication, communication skills, ownership, leadership",27
537,NAB Innovation Centre Vietnam,Security Architect - Security Assurance (Cyber Defence/IAM),"strategies, english, communication, communication skills, software development, incident response, network security, devops, leadership, flexible, digital",11
538,NAB Innovation Centre Vietnam,Security Architect - Security Consultancy,"leadership, strategies, ownership, digital, english, flexible",11
539,NAB Innovation Centre Vietnam,Senior Program Manager,"digital, stakeholder management, optimization, ownership, leadership, english, flexible",17
540,NAB Innovation Centre Vietnam,Senior Project Analyst (PMO),"project management, software development, communication, communication skills, analytical skills, problem solver, ownership, leadership, digital, english, flexible",17
541,NMDC Group,Electrical Engineer,"problem solving, communication",2
542,NMDC Group,Pipeline Engineer,"english, communication, communication skills",3
543,NMDC Group,offshore structural Engineer,"communication, communication skills",2
544,"NTT DATA, Inc.",Cloud Architect (Presales),"communication, strategies, server, software development, aws, azure, communication skills, problem solving",9
545,NTU International A/S,National Expert in Health Sector Management,"english, c",2
546,NTU International A/S,National Experts in Public Finance Management (PFM),"english, c",2
547,NTU International A/S,National Experts in Renewable Energy Development,"english, c",2
548,NTU International A/S,National Experts in Urban Transport & Mobility,"english, c",2
549,Nam Long Group - NLG,Learning and Development Supervisor,"organizational, communication, communication strategy, english, team building, presentation, interpersonal skills, strategies",15
550,Navigos Search,Biomass Trader (Manager level) Wood pellets/Wood chips,"demand planning, supply chain, communication, negotiation skills, english",5
551,Navigos Search,Head of Risk,"digital, c, strategies, fraud detection, api, team building, statistics, people management, leadership, presentation, english, vietnamese",15
552,Navigos Search,Project Sales Engineer,"client, sales management, communication, optimization, strategies",5
553,Navigos Search,Technical Lead,"leadership, team management, project management, strategies, aws, software development, problem solving, communication, java, devops, strategic thinking, interpersonal skills",18
554,Nestlé,Integrated Media Manager,"digital, digital marketing, marketing, strategies, optimization, data driven, creative, communication, communication skills, analytical skills, project management",34
555,New World Saigon Hotel,Sales Manager (M.I.C.E),strategies,1
556,Newbridge,Global Product Manager,"interpersonal skills, project management, organizational, strategies, documentation, leadership, english, multitask",9
557,Newbridge,Purchasing Manager,"client, strategies, supply chain, leadership, demand planning, multitask",8
558,Newbridge,Senior Principal Consultant,"industry knowledge, problem solving, c, perseverance, adaptability",5
559,Newbridge,Supply Chain Operations Manager,"client, supply chain, demand planning, leadership, team management, english",13
560,NielsenIQ,Design & Operation Specialist - Inside Sales,"strategies, client, digital, marketing, initiative, excel, english, communication, creative, flexible",17
561,NielsenIQ,Senior Executive Design Specialist - Inside Sales,"strategies, digital, marketing, client, initiative, excel, creative, communication, communication skills, organizational, time management, digital marketing, flexible",20
562,NielsenIQ,"Senior Manager, Consulting Customer Success","client, business plan, marketing, leadership, analytical skills, communication, communication skills, presentation, interpersonal skills, english, flexible",30
563,Nihon M&A Center Inc.,"M&A Associate Manager / M&A Senior Analyst  (HCMC, Vietnam)","client, communication, english, interpersonal skills, ownership",7
564,Ninja Mart,[FMCG] Senior Sales Planning Manager,"data analysis, team building, team leader",3
565,Ninja Mart,[FMCG] Trade Marketing Executive,"marketing, business development, communication, powerpoint, excel, english, team building, team leader",13
566,Ninja Van,Business Development Manager (Vietname-based),"data driven, vietnamese, business development, go, strategies, communication, english, marketing",13
567,Ninja Van,Business Intelligence Analyst,"data driven, sql, metabase, team building, team leader",5
568,Ninja Van,Regional Product Manager,"api, initiative, critical thinking, stakeholder management, communication, communication skills, software development",7
569,Ninja Van,Senior Network Management,"data driven, data analysis, project management, problem solving, english, team building, team leader",7
570,Ninja Van,Trade Marketing Executive (FMCG),"data driven, business strategy, marketing, business development, communication, powerpoint, excel, english, team building, team leader",18
571,Noventiq,Account Manager,"digital, marketing, client, communication, communication skills, flexible, english",8
572,Noventiq,Corporate Counsel,"digital, vietnamese, english, flexible",6
573,Noventiq,Microsoft Cloud Presales (SMB),"azure, c, flexible",4
574,Novo Nordisk,"Medical Representative, Obesity, HCM City","communication, communication skills",2
575,Nutreco,Product Manager,"marketing, communication",5
576,Nutreco,Strategic Marketing Director,"marketing, business strategy, communication, strategies, market research, optimization",18
577,O-I,Communications Specialist,"communication, organizational, ms word, vietnamese, english, presentation",12
578,O-I,Head of HR & Admin,"leadership, resource planning, performance management, people management, communication, organizational, vietnamese, presentation, problem solving, data analysis, organized",14
579,OLIVER Agency,Creative Director,"creative, digital, client, flexible, leadership, communication, communication skills, marketing, creative thinking",48
580,ONE,Senior UX/UI Designer,"digital, statistics, marketing, creative, ux, ui, strategies, english, communication, communication skills, ownership, powerpoint, react",17
581,OPSWAT,C++ Software Engineer (Middle/Senior/Lead),"access control, kubernetes, docker, business development, ownership, leadership, c, software development, communication, communication skills",11
582,OPSWAT,Commercial Operations Manager,"access control, process management, leadership, communication, communication skills, problem solving, access control, process management, leadership, communication, communication skills, problem solving",12
583,OPSWAT,Commercial Operations Manager (RFx process),"process management, leadership, communication, communication skills, problem solving",5
584,OPSWAT,Copywriter/Technical Writer,"access control, marketing, digital, creative, seo, optimization, presentation, project management, wordpress, google analytics, web analytics, web analytics tools",21
585,OPSWAT,Software Engineering Manager,"access control, project management, leadership, ui, ux, api, strategies, c, problem solving, analytical skills, communication, interpersonal skills, communication skills, documentation, javascript, react, english, access control, project management, leadership, ui, ux, api, strategies, c, problem solving, analytical skills, communication, interpersonal skills, communication skills, documentation, javascript, react, english, access control, strategies, business development, organizational, c, java, python, php, software development, communication, communication skills, english",58
586,OPSWAT,Software Engineering Team Lead (C++),"access control, kubernetes, docker, leadership, business development, ownership, c, software development, communication, communication skills",12
587,OPSWAT,Technical Product Manager,"digital, digital marketing, marketing, business analysis, ux, leadership, business mindset, english, access control, business analysis, marketing, ux, leadership, business mindset, english",21
588,OPSWAT,Technical Team Lead,"access control, kubernetes, c, communication, communication skills, organizational, time management, api",12
589,Oesia,Business Development Manager - APAC,"business development, digital",3
590,Ogilvy,Art Director,"advertising, marketing, client, presentation, communication, creative, business strategy, strategies, digital, english, vietnamese",21
591,Ogilvy,Integrated Strategist,"advertising, marketing, client, client management, creative, communication, leadership, people management, team work, presentation, negotiation skills, vietnamese, organized, flexible",23
592,Ogilvy,Senior Copywriter,"advertising, marketing, creative, client, communication, strategies, leadership, creative thinking, people management, digital, vietnamese, english, presentation",29
593,Ogilvy,Social Media Analyst,"advertising, marketing, communication, digital, data driven, client, leadership, statistics, data analysis, flexible, problem solving, english, creative",21
594,Omnicom Media Group,(Associate) Digital Manager,"marketing, digital, client, creative, leadership, english",13
595,Omnicom Media Group,(Senior) Digital Planner,"digital, strategies, client, action oriented, ms office, english, vietnamese, marketing, google analytics, communication, presentation",24
596,Omnicom Media Group,(Senior) Integrated Media Planner,"strategies, digital, creative, marketing, advertising, english, vietnamese, communication, presentation, ms office",13
597,Omnicom Media Group,Business Unit Director,"client, strategies, english, strategic planning, communication, presentation, creative, leadership",15
598,Omnicom Media Group,Digital Intern,"digital, client, excel, powerpoint, marketing, english, vietnamese",10
599,Omnicom Media Group,Digital Planner,"digital, strategies, client, action oriented, marketing, google analytics, english, vietnamese, communication, presentation, ms office",21
600,Omnicom Media Group,Senior Digital Manager,"digital, marketing, client, creative, communication, server, excel, leadership, english",24
601,Omnicom Media Group,Senior Planning Manager,"communication, client, digital, communication skills, analytical skills",10
602,Omnicom Media Group,Trading Executive,"client, interpersonal skills, initiative, english, vietnamese, ms office",6
603,On,Director of Footwear Sourcing,"digital, supply chain, english",4
604,On,IT Site Services Specialist,"team work, communication, problem solving, english",4
605,On,Innovation Footwear Development Lead (Senior),"r, communication, communication skills",3
606,OnPoint E-commerce,Engagement & Admin Manager,"organizational, communication, strategies, performance management, leadership, project management, multitask, ms office, problem solving",13
607,OnPoint E-commerce,Livestream Manager (PMO),"strategies, marketing, team management, analytical skills, data driven, communication",8
608,Otto International,Business Systems Analyst,"project management, business analysis, critical thinking, problem solving, presentation, negotiation skills, sql, c, python, javascript, css, software development, communication, communication skills, interpersonal skills, flexible",17
609,PACE Institute of Management,Business Development Manager,"business development, leadership, strategies, english, vietnamese",10
610,PACE Institute of Management,Deputy CEO of FranklinCovey Vietnam (Phụ trách Tư vấn VHDN),"leadership, english",4
611,PACE Institute of Management,Web Developer,"php, asp, seo, html, css, english, c, vietnamese",11
612,PEOPLE PROFILERS,[Hanoi/HCM] Sales Specialist (B2B - Payment Gateway),"marketing, excel, english",3
613,PERSOLKELLY,Head of Compliance,"advertising, marketing, problem solving",3
614,PERSOLKELLY,Modern Trade Manager,"business strategy, communication, communication skills, english, excel",5
615,PERSOLKELLY,Project Development Manager (Factory/Warehouse/Industrial Real Estate),"project management, english, communication, business development, documentation",8
616,PERSOLKELLY,Research and Development Supervisor,"r, marketing, project management, documentation, leadership, organizational, analytical skills, data analysis, communication, communication skills, interpersonal skills, optimization",24
617,PERSOLKELLY,Retail Operations Manager,"strategies, presentation, marketing, communication, strategic planning, organizational, problem solving, interpersonal skills, c",12
618,PHILIA DX,UNREAL ENGINE ARTIST / CG Generalist,"creative, digital",3
619,PM Solution,All levels Full-stack developer,"documentation, communication, communication skills, javascript, docker",5
620,PUMA Group,Business System Analysis Manager,"flexible, digital, documentation, communication, python, vba, problem solving, product lifecycle management, resource planning, project management, software development, powerbi, tableau, presentation",18
621,PVH Corp.,"Manager, Production Management & Operations (Apparel) (Merchandising)","optimization, supply chain, strategies, communication, communication skills, english, leadership, problem solving, time management, presentation, digital",14
622,PYMEPHARCO-STADA AG,Key Account Manager,"client, business development, strategies, marketing, communication, communication skills, organizational, time management",10
623,PYMEPHARCO-STADA AG,Public Affairs and Communications Manager,"marketing, advertising, communication, strategies, leadership, english, project management, organizational, stakeholder management",20
624,Paramont Group,Procurement Specialist,"team leader, supply chain, communication, communication skills, english",6
625,Payoneer,"Business Development Manager, Payoneer Checkout (Vietnam)","go, business development, lead generation, marketing, communication, communication skills, english, vietnamese, direct sales",11
626,Payoneer,"Marketing Manager, Checkout - APAC","go, marketing, lead generation, english, communication, presentation, vietnamese",15
627,Payoneer,Office Manager,"go, initiative, communication, communication skills",5
628,Payoneer,"Partnership Manager, Checkout - APAC","go, digital, performance management, marketing, communication, communication skills, direct sales, business development, english, presentation",13
629,Pegasi,Backend Lead,"leadership, js, aws, api, communication, problem solving, flexible",7
630,Pegasi,Bridge Software Engineer,"project management, software development",2
631,Pegasi,Senior AI Solution Engineer (Technical Focus),"algorithms, reinforcement learning, problem solving, data analysis, python, aws, azure, docker, kubernetes, excel, flexible",11
632,PepsiCo,Legal Advisor,"analytical skills, interpersonal skills, english, vietnamese, time management, organizational",6
633,Pfizer,Communication Manager (Vaccine),"communication, strategies, marketing, marketing mix, digital, digital marketing, optimization, english, vietnamese, organizational, strategic thinking, market research",25
634,Pfizer,Health Solution Partner,"communication, marketing, problem solving, english",5
635,Pharmacity,Senior Business Controlling & Data Analysis Manager,"financial analysis, optimization, excel, powerbi, sql, python, problem solving, flexible, communication, presentation, data driven, project management, analytical skills",15
636,Pierre Fabre Group,Human Resources Assistant (Contractor),"c, team building, documentation, databases, hr manager, problem solving, communication, communication skills",10
637,Pro5.ai,Senior Full Stack Engineer,"english, communication, communication skills, problem solving, aws, azure, docker, python, software development, numpy, fastapi, django, js, react, angular, css, etl, spark, api, devops, sql, nosql, mongodb",29
638,Pro5.ai,Senior Java Software Engineer,"java, encryption, devops, software development, mongodb, aws, azure, docker, kubernetes, problem solving, communication, team building, english",27
639,PropertyGuru Group,Business Development Executive,"digital, communication, communication skills, perseverance",4
640,PropertyGuru Group,Business Development Team Leader⠀,"team management, market research, strategies, business strategy, marketing, communication, business development, presentation, industry knowledge",16
641,PropertyGuru Group,Sales Operations Specialist,"dashboards, english, business analysis",3
642,Publicis Groupe,(Senior) Digital Planner,"marketing, strategies, digital, digital marketing, optimization, strategic thinking, adwords, organized, google analytics, presentation, communication, english",16
643,Publicis Groupe,Constellation | Associate Digital Manager,"marketing, strategies, digital, digital marketing, optimization, advertising, adwords, organized, presentation, communication, english, critical thinking, problem solving, ms excel, excel",18
644,Publicis Groupe,Constellation| Social Account Executive,"go, client, strategies, marketing, vietnamese, communication, interpersonal skills, creative",10
645,Publicis Groupe,Media Executive,"marketing, digital, campaign management, creative, client, english",9
646,Publicis Groupe,Media Planner,"client, advertising, statistics, creative, marketing, market research, presentation, communication, time management",13
647,Publicis Groupe Vietnam,Commercial Finance Supervisor - 7-month contract,"client, strategies, financial analysis, creative, dashboards, leadership, data analysis, multitask, english, problem solving, organizational, advanced excel, excel, data visualization",21
648,Publicis Groupe Vietnam,Constellation | Digital Executive,"client, digital, organized, google analytics, presentation, communication, english",9
649,Publicis Groupe Vietnam,Constellation| Senior Copywriter,"go, creative, creative thinking, client, ux, interpersonal skills, digital, advertising",27
650,Publicis Groupe Vietnam,Digital Manager,"digital, data driven, client, marketing, strategies, digital marketing, optimization, advertising, adwords, organized, presentation, communication, english, critical thinking, problem solving, ms excel, excel",21
651,Publicis Groupe Vietnam,Digital Trainee,"client, marketing, advertising, communication, excel, powerpoint",8
652,Publicis Groupe Vietnam,Digitas | Senior Ecommerce Executive (Health and Beauty),"marketing, client, strategies, team work, optimization, flexible, interpersonal skills, web analytics, web analytics tools, google analytics, tableau, problem solving, presentation, leadership, digital",30
653,Publicis Groupe Vietnam,Digitas | Technical Project Manager,"marketing, digital, project management, optimization, problem solving, presentation, vietnamese, english",16
654,Publicis Groupe Vietnam,Leo Burnett | Community – Senior Social Executive (Social Outreach focused),"go, optimization, client, digital, social media marketing, marketing, social media platforms, writing skills, communication, creative, ownership",15
655,Publicis Groupe Vietnam,Leo Burnett | Senior Account Executive,"go, creative, digital, advertising, marketing, documentation, organized, communication, english",15
656,Publicis Groupe Vietnam,Leo Burnett | Social Outreach Associate Manager,"go, optimization, client, people management, digital, social media marketing, marketing, social media platforms, writing skills, communication, creative, ownership",16
657,Publicis Groupe Vietnam,MSL | Senior Copywriter,"creative, creative thinking, english, client, critical thinking, digital, vietnamese, interpersonal skills, advertising",14
658,Publicis Groupe Vietnam,Media Planning Lead,"marketing, communication, digital, creative, strategies, project management, ownership, go, english, marketing, communication, digital, creative, strategies, project management, ownership, go, english",30
659,Publicis Groupe Vietnam,"Media Planning, Associate Manager","marketing, communication, digital, creative, strategies, project management, ownership, go, english",15
660,Publicis Groupe Vietnam,Publicis | Senior Account Executive,"atl, digital, creative, marketing, advertising, documentation, english",17
661,Publicis Groupe Vietnam,Senior Digital Marketing Executive - Ecommerce,"digital, optimization, client, english",6
662,Publicis Groupe Vietnam,Senior Digital Planner,"optimization, client, strategic thinking, strategies, digital, adwords, organized, google analytics, english, presentation",13
663,Publicis Groupe Vietnam,Senior Performance Manager,"marketing, communication, digital, creative, ownership, data driven, strategies, optimization, client, go, marketing, communication, digital, creative, ownership, data driven, strategies, optimization, client, go",36
664,Publicis Groupe Vietnam,Senior Planning Manager,"marketing, communication, digital, creative, strategies, project management, ownership, go, english",15
665,QIMA,Business Development Manager,"client, business development, communication, communication skills, supply chain, digital, product testing, english, vietnamese",11
666,QIMA,Business Development Manager (Lab-testing service),"client, business development, communication, communication skills, supply chain, digital, product testing, english, vietnamese",11
667,RMIT University,Accounting Teacher,"english, communication",4
668,RMIT University,"Associate Professor, Finance","digital, leadership, communication, english",7
669,RMIT University,Change Manager (Procurement Champion Project - 12 months & contracted via 3rd party),"communication, strategies, leadership, organizational, ownership, negotiation skills, initiative, problem solving, customer focused, customer focused, communication skills, english, vietnamese",19
670,RMIT University,Gendered Harm Advisor,"english, communication",5
671,RMIT University,"Lecturer, Finance","digital, english, communication",3
672,RMIT University,"Lecturer, Human Resources Management","digital, english, communication",3
673,RMIT University,Legal Manager,"project management, documentation, communication, time management, creative, flexible, vietnamese, english",11
674,RMIT University,"Manager, Equitable Learning and Accessibility","organizational, english, communication",6
675,RMIT University,Program Manager,"business analysis, leadership, project management, communication, negotiation skills, agile methodologies, vietnamese, english",10
676,RMIT University,"SGS - Senior Lecturer in Advertising, Professional Communication","leadership, advertising, creative, digital, marketing, digital marketing, english, communication",20
677,RMIT University,Security Manager,"leadership, access control, client, communication, communication skills, english, vietnamese, problem solving",13
678,RMIT University,"Senior Lecturer, Human Resources Management","digital, english, communication",3
679,RMIT University,"Senior Lecturer, Psychology","english, writing skills, communication",8
680,RMIT University,"Senior Lecturer/Lecturer, International Business","digital, strategic planning, communication, communication skills, english",7
681,RMIT University,"Senior Manager, Compensation, Benefits and HR Services","vietnamese, organizational, leadership, team management, communication, interpersonal skills, english",12
682,RMIT University,"Senior Manager, Digital Innovation and Library Systems","digital, leadership, communication, project management, analytical skills, problem solving, strategic thinking, stakeholder management, vietnamese, english",22
683,RMIT University,Technical Delivery Lead,"client, leadership, project management, powerbi, problem solving, itil, communication, interpersonal skills, negotiation skills, organizational, time management, english",19
684,RRecruiter,Recruitment Consultant (Intern/Fresh/No Experience Required),"client, english",2
685,RRecruiter,Recruitment Consultant/ Talent Acquision Specialist (Fresher/No Experience Required),"client, social media platforms, english",3
686,Renesas Electronics,Atlassian Tools administrator ( JIRA/Confluence/Bitbucket),"documentation, english",2
687,Renesas Electronics,Marketing Recruitment Manager,"marketing, leadership, data driven, digital, client, problem solving, project management, communication, communication skills, interpersonal skills",13
688,Rhenus Logistics,Country Product Manager - Airfreight,"supply chain, strategic planning, strategies, leadership, digital, performance metrics, people management, communication, industry knowledge, negotiation skills, analytical skills, data driven, communication skills, financial analysis, problem solving, creative",24
689,Rieckermann,SharePoint Developer,"azure, api, java, c, initiative, english",6
690,Robert Walters,Digital Transformation Director,"digital, strategies, communication, documentation, leadership, organizational, project management, multitask, english, client",25
691,Royal De Heus,"Head of Purchasing, Asia","growth strategy, strategies, english, ms office, ms excel, excel, analytical skills, flexible",8
692,Royal HaskoningDHV,Business Development Intern,"business development, organizational, communication, communication skills, organized, marketing, c, brand management, english, ms word, powerpoint, team building",16
693,SAP,SAP Labs Vietnam - Employee and Ecosystem Manager,"r, leadership, creative, communication, vietnamese, english, presentation, resource planning, flexible",13
694,SAP,SAP Labs Vietnam - Operations Manager,"r, team leader, leadership, creative, communication, vietnamese, english, presentation, resource planning, flexible",14
695,SAP,SAP Labs Vietnam - Senior Operations Specialist,"r, project management, creative, communication, vietnamese, english, presentation, leadership, resource planning, flexible",13
696,SAP,SAP Labs Vietnam Operations - Program Manager,"r, leadership, creative, communication, vietnamese, english, presentation, resource planning, flexible",12
697,SCC Vietnam,Salesforce Developer,"software development, english",3
698,SID Global Solutions,Enterprise Sales Executive,"customer focused, customer focused, documentation, project management",5
699,SMG Swiss Marketplace Group,Mid/Senior iOS Engineer - 100% (w/m/d) - Ho Chi Minh City - Hybrid Work,"digital, performance metrics, english, communication, swift, ownership, problem solving, creative",11
700,SP Group,Business Development Manager,"business development, optimization, performance metrics, client, strategies, financial analysis, interpersonal skills, excel, powerpoint, business development, project management, english, communication",21
701,SPCT-Saigon Premier Container Terminal,Commercial Manager,supply chain,4
702,SPD Scientific,Business Development Manager (Industrial),"business development, strategies, marketing, business plan, leadership, market research, r, communication, presentation",14
703,SPS,Senior IT Business Analsyt,"communication, problem solving, documentation, business analysis, analytical skills, software development",9
704,SPS,Software Tester / SQC Engineer,"software development, api, team leader, communication, communication skills, digital, client, go, creative",10
705,Saigon Centre Shopping Mall,"Senior Executive, Retail Leasing","marketing, excel, english, vietnamese",4
706,Saint-Gobain Vietnam,Financial Services Manager,"vietnamese, leadership, people management, communication, presentation, english, ownership, flexible",12
707,Salt,Security Architect - Vietnam [Cyber Defense/IAM],"communication, communication skills, software development, incident response, network security",5
708,Sam's Club,Senior Quality Engineer - Furniture,"communication, problem solving, communication skills, english",5
