,Company/Candidate Name,Role,Sub-skill,Count
131,"Chart Industries, Inc.",AFM Sale Manager,"business development, customer relationship management, strategies, leadership, marketing, communication, communication skills, ms excel, excel, interpersonal skills",15
132,Chợ Tốt,Account Manager (Goods),"business plan, business development, negotiation skills, communication, marketing",6
133,Chợ Tốt,Business Analyst (Việc Làm Tốt),"vietnamese, c, user research, dashboards, communication, problem solving, digital, sql, business insights, data visualization, presentation",12
134,Chợ Tốt,Business Development Specialist (Job),"sales management, communication, communication skills, presentation, negotiation skills",5
135,Chợ Tốt,Business Development Specialist (Nhà Tốt),"business plan, communication, presentation, negotiation skills, english, team building",6
136,Chợ Tốt,Chuyên Viên Kinh Doanh (Chợ Tốt Xe) – Account Manager (Vehicle),"communication, marketing",2
137,Chợ Tốt,Chuyên viên kinh doanh (Nhà Tốt) - Account Manager (Property),"flexible, team building",2
138,Chợ Tốt,Quality Engineer,"vietnamese, c, strategies, api, java, javascript, python, analytical skills, regression, aws, docker",15
139,Chợ Tốt,SEO Specialist,"vietnamese, c, seo, marketing, ownership, strategies, web analytics, dashboards, team management, ms excel, excel, google analytics, english, adwords",23
140,Chợ Tốt,Telesales (Goods),"vietnamese, c, r",9
141,Circle K Vietnam,Marketing Communication Manager,"communication, marketing, strategies, advertising, leadership, people management, interpersonal skills, creative, flexible, vietnamese, english, presentation, excel",22
142,Citi,"Assistant Vice President, Senior Relationship Manager, Citi Commercial Bank","analytical skills, communication, leadership, organized, client, team leader, documentation, digital, business development",12
143,Coca-Cola Beverages Vietnam,Digital Solution Delivery Director,"leadership, digital, project management, problem solving, organizational, english, team building, communication, presentation, html",22
144,Coca-Cola Beverages Vietnam,SENIOR TALENT PARTNER,"strategies, leadership, communication, organizational, performance management, english, html",11
145,Coca-Cola Beverages Vietnam,Senior National Account Manager – On Premise/HORECA,"marketing, business analysis, vietnamese, english, leadership, strategic thinking, direct sales, html",10
146,Cognita Schools,Health And Safety Manager,"communication, communication skills, analytical skills, strategies, leadership, problem solving, adaptability",11
147,Colgate-Palmolive,Shopper Marketing Manager,"leadership, marketing, go, team leader",11
148,Compass Offices,Senior Business Development Manager,"business development, client, marketing, vietnamese, english, communication",9
149,Concentrix,Communications Site Coordinator,"marketing, optimization, digital, communication, english, vietnamese",9
150,Concentrix,Customer Service Executive,english,1
151,Concentrix,"IT Team Leader (Onsite, 1pm-10pm Shift)","communication, interpersonal skills, english, excel",4
152,Concentrix,Operations Team Leader (Nightshift only),"performance metrics, communication, english, business plan",4
153,Concentrix,Quality Assurance Supervisor,"vietnamese, data analysis, client, communication, team leader, english",8
154,Confidential,Channel Head - Modern Trade,"strategies, marketing",3
155,Confidential,Commercial Data Analytics Manager,"dashboards, data driven, leadership, excel, critical thinking, ownership",6
156,Confidential,Country Manager,"strategic planning, strategies, leadership, communication, presentation, english, financial analysis",10
157,Confidential,Head of Human Resources,"performance management, team work, documentation, communication, strategies, communication skills",7
158,Confidential,Regional Application Specialist -South East Asia--IVD industry,"presentation, communication, communication skills, ms office",4
159,Confluence,Associate Client Consultant,"client, excel, problem solving, communication, analytical skills, organized, flexible",9
160,Connexant Company Limited,Content Creator,"marketing, digital, content marketing, strategies, seo, optimization, data analysis, data driven, english, communication, communication skills, articulation, writing skills",28
161,Consea Group,Technical Sales Manager,"client, marketing, communication, english, problem solving, organizational, flexible",9
162,Contego - Global Talent Solutions,"Director of Procurement Alco, drinks experience (candidates ideally based in Vietnam as relocation may not be offered) Reloation","client, marketing, strategies, optimization, supply chain, data analysis",10
163,Crypto.com,(Senior) Mobile Developer - iOS,"swift, c, ui, problem solving, communication, digital",7
164,Cushman & Wakefield,Intern,"databases, market research, client, excel, powerpoint, english, problem solving, time management, communication, communication skills, flexible, go",12
165,DDS Petro Group,Finance Analyst,"supply chain, strategic planning, organizational, communication, presentation, financial analysis",6
166,DHL Supply Chain,Business Development Manager,"supply chain, market research, client, business development, communication, interpersonal skills, organizational, problem solving, english",12
167,DHL Supply Chain,Management Trainee Program,"supply chain, communication, presentation, ownership, go, problem solving, english",10
168,DJRecruit Asia,"Head of Sales- Aesthetics Industry  - Up to US$7,000 per month (Ho Chi Minh City, Vietnam)","client, strategies, marketing, market research, sales management, leadership, team management, communication, problem solving, vietnamese, english",16
169,DJRecruit Asia,"Manager/ Principal/ Senior Consultants - DJRecruit Recruitment Sales (Circa US$1,500 - US$3,500 + Commission + Override)","marketing, c, leadership, client, communication, communication skills, english, vietnamese, databases, business development",11
170,DKSH,*Accounting Intern,"marketing, flexible",2
171,DKSH,*Assistant Manager Finance,"performance management, optimization, financial analysis, communication, flexible",5
172,DKSH,*Digital Marketing Intern,"marketing, digital, market research, flexible",5
173,DKSH,*Ecommerce Tiktok Content Intern,"marketing, flexible",2
174,DKSH,*Manager General Lab & Distributions (Dealers Management),"marketing, communication, communication skills, flexible",4
175,DKSH,*Manager Technical Sales (FDI Marine and Oil & Gas Engines),project management,2
176,DKSH,"*Manager, Application Engineering & Project Management (CumminsDKSH Vietnam)","marketing, project management, product design, english, communication, interpersonal skills, leadership, team management, adaptability, problem solving, flexible",12
177,DKSH,"*Manager, Hospital Sourcing Management","strategies, communication, communication skills, english, excel, powerpoint, flexible",7
178,DKSH,"*Manager, Product Management","marketing, strategies, documentation, client, client management, communication, project management, statistical analysis, english, excel, powerpoint, flexible",13
179,DKSH,"*Sale Manager, Cosmetics (Pharmacy Channel)","strategies, client, communication, excel, powerpoint, english",6
180,DKSH,Executive Key Account Management,"customer relationship management, supply chain, marketing, english, flexible",7
181,DKSH,Product Specialist (Aesthetic),"data reporting, customer relationship management, databases, flexible",4
182,DKSH,Senior Manager Treasury,"english, flexible",2
183,DP World,Accounts Payable Officer,supply chain,2
184,DP World,Junior Sales Executive,"english, supply chain, communication, communication skills, industry knowledge, lead generation, marketing",12
185,DP World,Sales Manager – Vietnam (Ho Chi Minh City),"client, strategies, business development, english, interpersonal skills, supply chain",7
186,DP World,"Senior Manager/Director of Freight Forwarding Business Process, Southeast Asia (Based in Vietnam)","supply chain, documentation, project management, communication, communication skills, adaptability",8
187,DXC Technology Vietnam,Solution Architect,"initiative, optimization, business strategy",4
188,DYM VIETNAM COMPANY LIMITED,Application Developer,"advertising, react, flutter, php, wordpress, problem solving, communication, web apps, agile methodologies, leadership",11
189,DYM VIETNAM COMPANY LIMITED,Senior Accountant,"english, leadership, problem solving, communication, interpersonal skills",5
190,DYM VIETNAM COMPANY LIMITED,Web Designer,"ui, ux, communication, css, javascript, go",11
191,Dai-ichi Life Vietnam,Actuarial Assistant Manager (Pricing team),"market research, english, communication",3
192,Dai-ichi Life Vietnam,Product Development Staff - 12 months,english,1
193,Dai-ichi Life Vietnam,Tax Senior Specialist,"strategies, documentation, communication, communication skills, excel",6
194,Danone,SEA Senior Legal & Compliance Manager,"strategies, communication",3
195,Deloitte,Consultant - Organization Transformation - VN,"business strategy, presentation, client, client management, organizational, problem solving, leadership, communication, communication skills",11
196,Deloitte,Graduate Analyst - Oracle (Finance) - Vietnam (July 2024 Intake),"excel, team work, data analysis, resource planning, performance management, supply chain, analytical skills, communication, communication skills, english, problem solving, client, leadership",14
197,Deloitte,Graduate Analyst - Strategy & Business Design - Vietnam (July 2024 Intake),"client, project management, initiative, communication, communication skills, creative, interpersonal skills",8
198,Deloitte,Senior Consultant - SAP SD (Sales and Distribution) - VN,"excel, team work, client, communication, presentation, english, leadership",8
199,Deloitte,Specialist - Talent Acquisition - ID/TH/MY/PH,"excel, team work, strategies, communication, digital, interpersonal skills",6
200,Dentons LuatViet,Legal Associate,"vietnamese, client, strategies, problem solving, communication, communication skills, english, excel",10
201,Dentsu Creative,PR Manager,"leadership, client, data analysis, data driven, strategies, market research, marketing, communication, communication skills, excel",18
202,Dentsu Sports Vietnam,Accountant & Admin,"organizational, english, ms office",4
203,Destination Asia,MICE Specialist,"client, creative, marketing",8
204,Dextra Transport,Country Manager,"business development, communication, leadership, english, vietnamese",5
205,Dezan Shira & Associates,"Business Intelligence, Associate","business intelligence, market research, databases, marketing, business development, communication, english, vietnamese, excel, powerpoint, communication skills",22
206,Diag Medical,Legal and Compliance Manager,"strategies, problem solving, communication, negotiation skills, english, vietnamese, project management",7
207,Diag Medical,Outbound Sales Specialist,"adaptability, ms office, english",3
208,Diana Unicharm JSC,[HCM] Senior Area Sales Manager/Senior ASM – GT Channel (In charge Provinces),"strategies, direct sales, leadership, marketing, ms word, excel, powerpoint, english",9
209,Digiworld Corporation,Account Manager (ICT Product),"marketing, communication, communication skills, english, data analysis, business development",9
210,Digiworld Corporation,Human Resources Business Partner (Sales),"organizational, communication, data analysis, communication skills, presentation, english, vietnamese",10
211,Disney Experiences,"Assistant Manager, New Business Development and Key Account Management, Vietnam","business development, strategies, organizational, marketing, financial analysis, leadership, vietnamese, problem solving, business insights, communication, presentation, flexible",21
212,DisplaySweet,Senior Architectural Visualizer,"presentation, python, leadership, english",4
213,E-Study School,Chief Accountant,"leadership, strategic planning, vietnamese, team management, problem solving, english",7
214,EMVN Music Licensing,Junior Sales Representative,"vietnamese, lead generation, business development, marketing, communication, presentation, english, flexible, team building",11
215,EQuest Education Group,"Assistant to Vice President, Finance","financial analysis, communication, multitask, english",5
216,EQuest Education Group,ESH - Secondary  Coordinator,"leadership, team work, communication, c",8
217,EQuest Education Group,[Sedbergh Vietnam] Senior Digital Marketing Executive,"digital, digital marketing, marketing, strategies, data driven, email marketing, vietnamese, english, social media marketing, optimization",27
218,EQuest Education Group,[iSMART HCM] ESL TEACHER,"english, communication",3
219,EVEROK GROUP,Customer Service ( Freight Forwarding),"english, initiative, communication, team work",4
220,EVEROK GROUP,Team Leader( Freight Forwarding),"documentation, team management, problem solving, business development, english",6
221,EY,(Senior) Manager | HR Consulting (Total Rewards Advisory) | HCMC Office,"creative, business strategy, strategies, digital, optimization, organizational, client, business development, leadership, problem solving, excel, people management",25
222,EY,Legal Counsel | HCMC Office,"english, communication, presentation, leadership",4
223,EY,Senior Associate | Chinese-desk Business Development | HCMC Office,"c, leadership, communication, marketing, english, creative",6
224,EY,Technology Consulting - Cyber Security (Manager/ Senior Manager),"business strategy, growth strategy, client, marketing, leadership, penetration testing, industry knowledge, big data, problem solving, excel, communication, communication skills, people management, flexible",23
225,Edelman,Client Manager,"client, marketing, writing skills, digital, advertising, strategies",18
226,Edelman,PR Intern (Full-time),"communication, vietnamese, english, strategies, advertising, digital",7
227,Edelman,Senior Client Executive,"client, marketing, advertising, initiative, strategies, digital",14
228,Elanco,Senior Finance Manager,"organizational, business development, leadership, supply chain, analytical skills, communication, communication skills, strategic planning, problem solving, adaptability, interpersonal skills",13
229,Element6 Technologies,Mobile Game Designer,"documentation, ownership, team work, ui, ux, creative, english, communication, communication skills, marketing, market research",11
230,Element6 Technologies,Mobile Game Marketing Specialist,"strategies, marketing, creative, advertising, data analysis, performance metrics, problem solving, communication",14
231,Entravision APAC,Client Partner - Pinterest,"advertising, client, marketing, communication, digital, creative",11
232,Entravision Vietnam,Client Partner,"client, digital, marketing, leadership, digital marketing, communication, presentation, english, vietnamese",18
